Dia_do_Teste;MSFT_Real_US$;MSFT_Previsto_US$;NVDA_Real_US$;NVDA_Previsto_US$;GOOGL_Real_US$;GOOGL_Previsto_US$;META_Real_US$;META_Previsto_US$
1;413,6317138671875;416,48956042741236;124,51995086669922;120,98746531477181;161,80967712402344;160,57183474067665;524,3886108398438;533,7615813040001
2;416,65631103515625;416,2543603678146;129,93736267089844;123,55008599024728;165,4934844970703;160,68211470572496;526,2379760742188;531,510717501395
3;419,8885192871094;419,5781359665412;127,18868255615234;127,4172908220926;165,9998779296875;162,97025741348295;523,70263671875;532,0265301032906
4;419,23614501953125;420,0671427742056;128,4380645751953;127,60807216350463;164,67930603027344;163,2919300780166;532,0841064453125;527,5993427581145
5;410,7454528808594;421,2851620195918;123,68035888671875;128,77868883623233;162,6437530517578;163,10814700471815;528,872802734375;529,9858834882452
6;411,97113037109375;417,82508079227847;129,30763244628906;127,5353266309777;164,45089721679688;162,5909696817591;524,96533203125;531,7809104792515
7;408,70928955078125;422,1268060327752;126,39905548095703;129,13262833957077;164,9870758056641;165,1501512273517;518,1249389648438;535,4799114675765
8;409,0552062988281;415,83172934216196;128,23817443847656;128,12054525991482;163,51751708984375;165,07443773856855;516,1163940429688;522,8916208616046
9;405,85272216796875;416,16191622037223;125,54946899414062;128,64079530880537;161,70045471191406;164,4465767566845;513,8098754882812;524,1879274423081
10;408,34356689453125;410,99240114774926;117,53332519531251;127,19823356015044;160,6379852294922;162,01909718674585;515,2415771484375;517,3358305109028
11;412,31707763671875;411,2405509849152;119,31246948242188;123,42555955233996;162,2267303466797;161,39362619818152;518,3137817382812;518,9910433066892
12;404,70611572265625;414,6275872792914;107,9479446411133;122,30554620314443;156,24920654296875;162,69809292720967;508,81866455078125;523,8323420302056
13;404,17236328125;403,55276859208584;106,1588134765625;114,88460704511243;155,34564208984375;157,91663482427828;509,7929992675781;509,66863802595947
14;403,6682434082031;402,4306704755941;107,15834045410155;111,68681595017256;156,13006591796875;157,89070328186483;513,889404296875;512,8732071244704
15;397,05560302734375;401,9567435030869;102,7804412841797;110,18605360139189;149,8546600341797;157,96122734954537;497,39471435546875;514,0814624257727
16;401,02911376953125;397,17222341185504;106,41867828369142;106,99532891722747;147,85621643066406;153,80707342400646;501,8887634277344;505,807024200569
17;409,41107177734375;400,2714777598087;108,04789733886719;107,07267785062915;147,80648803710938;151,28372445936145;501,8887634277344;507,91724436858425
18;418,14886474609375;407,1786168593362;116,85365295410156;108,74946766038298;150,29212951660156;150,8229512918748;508,8882141113281;511,850996452828
19;422,0630798339844;415,5897904830061;119,0927734375;112,65978625789121;153,80186462402344;152,41838126814307;522,5792236328125;512,2343097291799
20;425,611572265625;423,99636191286993;119,05277252197266;116,64817105059402;156,5559844970703;155,51344254562443;521,6047973632812;522,7940496883314
21;426,3529052734375;425,7057186221537;116,73369598388672;117,26211830462123;157,1525115966797;156,71531202221234;530,7208251953125;521,8632863187067
22;430,1188049316406;428,643260115571;115,54417419433594;116,90170132105423;158,40528869628906;157,39468580394015;533,7462158203125;529,3942606118133
23;425,82904052734375;431,86470579998445;113,3250503540039;116,54936423426908;158,89247131347653;158,6627370903647;535,3684692382812;534,3764906234907
24;433,6179504394531;429,7561498626367;117,8232650756836;115,03692782142357;161,20909118652344;158,8975801125742;556,4169311523438;534,8805961005409
25;430,2374572753906;437,1476526334704;115,95401000976564;117,76125359580446;162,65077209472656;161,85040686284546;558,6561279296875;549,4043932298168
26;428,497802734375;433,895878997594;116,21391296386717;115,88212052168649;160,9207763671875;161,1352530554587;561,701416015625;551,7570641809085
27;424,2080078125;437,0354439766791;120,82208251953125;117,21171242545059;161,3582305908203;163,22376685167274;560,6265869140625;562,8542228000479
28;427,1139831542969;434,4926809743648;123,4610366821289;118,78865251199376;160,56283569335938;162,60304350989944;565,5827026367188;559,3729228941165
29;426,3232421875;435,2921098069473;123,99082946777342;121,36450481285614;161,7957000732422;161,84639071803167;565,1149291992188;561,7130996467924
30;423,0712890625;438,732505671685;121,35187530517578;123,47433092607596;163,0087127685547;164,483853938538;564,6372680664062;568,2204969242271
31;425,324951171875;432,3605709012428;121,39186096191405;120,97772324909765;164,89781188964844;164,58782103480758;569,6929321289062;562,0872794738033
32;415,8260498046875;431,10775608523676;116,95362091064455;119,75172252537487;166,03126525878906;165,257476182193;573,7035522460938;564,4268329840318
33;412,30718994140625;421,99229565888095;118,80288696289061;116,85950844135755;164,90774536132812;165,23578649197984;570,0611572265625;565,023315870791
34;411,7240295410156;418,9132295723473;122,80130004882811;116,25130361604438;164,90774536132812;164,4827613540967;579,973388671875;566,5335059392128
35;411,24957275390625;418,1757205967128;124,87047576904297;119,1094417231673;166,10084533691406;164,15741883276374;593,0801391601562;571,5829637192397
36;404,8049621582031;419,24204030469355;127,6693649291992;121,45373380200658;162,04425048828125;165,4557312448467;581,9737548828125;580,1906458314754
37;409,9151916503906;413,10856278194143;132,83731079101562;123,28511668887656;163,4362335205078;162,0301656679356;590,044677734375;577,6170066458444
38;412,6333923339844;417,61786609570413;132,597412109375;127,64267458989669;160,93069458007812;162,98508428352682;587,6762084960938;582,6591321801642
39;411,0321044921875;416,3341005120387;134,75656127929688;129,20994262232114;161,1494598388672;161,37275377891496;581,0281982421875;579,3852885507239
40;411,506591796875;417,058246964237;134,74656677246094;131,20939435673083;162,30276489257812;161,35130599837737;587,1188354492188;579,6169045356166
41;414,2939758300781;417,59371209537176;138,01527404785156;132,49448805017698;164,0129089355469;163,09384159754487;587,5866088867188;580,9478911230606
42;413,89862060546875;420,98847432142963;131,54783630371094;134,62941522715516;164,51004028320312;164,79462968409337;583,45654296875;584,6708817933736
43;411,30889892578125;416,1441560306716;135,6662139892578;131,57200928911092;164,21176147460938;165,37428602150516;574,0220336914062;575,8296185780468
44;411,9019775390625;414,90782901049266;136,87571716308594;132,22541393364443;161,9945526123047;165,39407762877983;574,1613159179688;571,9429569686133
45;413,3253173828125;418,18648921457174;137,94529724121094;135,09794231398317;162,4817657470703;164,5130605116434;573,7035522460938;573,9124808316034
46;413,9381103515625;417,879018968823;143,6530303955078;135,82368666927496;163,12802124023438;163,91974496125502;572,3997802734375;573,4934902729841
47;422,56719970703125;421,82617667176817;143,53309631347656;138,86468503853436;164,19186401367188;164,3469949504041;579,2169189453125;571,121733601361
48;419,6908264160156;429,3814545316436;139,50466918945312;140,8728326961346;161,8454132080078;165,96094441358414;560,98486328125;575,9959949626209
49;419,8193054199219;425,8201075787955;140,35433959960938;138,54299560855287;161,7857666015625;164,87597757233746;565,0552368164062;563,4060352149937
50;423,1997985839844;425,6023660833564;141,48388671875;138,52413492181472;164,32110595703125;164,41130328617237;570,4989624023438;559,7915888568526
51;421,6578063964844;432,11894727986754;140,46429443359375;139,5635267997546;165,76280212402344;168,1293865833774;575,3854370117188;567,8796177852688
52;426,9559020996094;429,1026280103923;141,19400024414062;138,50375006173311;168,70579528808594;168,8335079874793;590,4329223632812;566,6426263720498
53;427,5291442871094;432,09611100785514;139,28475952148438;138,35231714460784;173,45835876464844;172,04937888093187;588,9599609375;575,0679830963927
54;401,6518249511719;435,1224353662676;132,70738220214844;136,21675955403768;170,12757873535156;176,3121305370482;564,856201171875;576,9311028398399
55;405,6253662109375;413,0885902130112;135,34632873535156;131,3295827310613;170,30654907226562;171,1679057452248;564,438232421875;560,985801595041
56;403,7373962402344;413,14343527692836;135,99607849121094;132,19435343752576;168,26832580566406;171,5931711300017;557,9893188476562;559,6024463087973
57;406,7027587890625;412,2468785884017;139,8545379638672;133,81542282758144;168,76547241210938;170,48231255825667;569,6829223632812;556,4018756783536
58;415,3219299316406;414,67826377001626;145,55227661132812;135,45994236728714;175,49659729003906;171,03126915524675;569,3047485351562;562,3068164910296
59;420,5111999511719;420,8946246341515;148,8209991455078;139,12631500788268;179,71224975585938;176,01884103762745;588,8604736328125;557,4115743166449
60;417,6546630859375;426,44344313153346;147,57147216796875;142,7130820459166;177,32601928710938;179,2392788363859;586,5117797851562;570,5446790745511
61;413,17706298828125;425,0826623650619;145,20240783691406;143,14474827673388;179,3145294189453;178,8605040517232;580,3713989257812;572,6254714479235
62;418,13897705078125;420,57068515231504;148,23118591308594;142,27026718675154;180,57725524902344;179,1067921480922;582,0134887695312;567,9103300083763
63;420,28387451171875;424,14442163786146;146,21202087402344;144,14848587341808;177,8529815673828;181,45498978947072;577,216552734375;573,5244833911603
64;421,9543762207031;424,10291383073405;146,70181274414062;143,8832082856685;174,57192993164062;180,28932359248424;574,3902587890625;567,1470401953708
65;410,2017822265625;424,3176993006186;141,92369079589844;143,52183146450614;171,49966430664065;178,1247544048115;551,4210815429688;563,812403121925
66;410,9530334472656;416,8242201765366;140,09442138671875;140,03001743238443;174,2935333251953;175,07765664291074;551,739501953125;548,6131056713477
67;412,9595642089844;414,9041480306432;146,95172119140625;138,06256427486855;177,09732055664062;175,9614893496628;558,3973999023438;543,8186949595837
68;410,6861572265625;417,3648202440697;145,83216857910156;140,96802483281638;174,96961975097656;177,13861470324656;562,80615234375;547,5840955076033
69;408,9132995605469;421,9079129603596;146,6118621826172;142,85139221281696;166,66758728027344;177,60239471612883;560,3877563476562;554,8393534988273
70;413,0037536621094;418,2762949421644;141,8937225341797;142,39675070045718;163,81405639648438;172,80712976723245;556,4567260742188;549,2111712576723
71;414,776611328125;419,66272028231094;135,96609497070312;141,08643436244725;166,68743896484375;170,95414622513144;562,3980712890625;553,2006083797503
72;423,888427734375;420,2787163904453;136,86572265625;137,76327374672823;168,14901733398438;171,7790769620184;570,7876586914062;554,5833832899747
73;418,9363098144531;424,48479881877677;135,2863311767578;136,79319563922846;168,25836181640625;172,1502083483899;566,4683837890625;564,4750789125449
74;419,4018249511719;421,17044253289436;138,19520568847656;134,4714231506646;167,97998046875;171,07600530035145;571,5639038085938;558,5072588441556
75;426,84979248046875;423,8041570721038;138,5750274658203;136,24925379671436;170,50543212890625;171,5984233334554;589,9850463867188;563,5373339258481
76;427,0676574707031;430,0845279136001;140,20440673828125;137,32241638222837;170,35626220703125;172,46499545291366;610,705078125;574,674894146035
77;433,22802734375;431,89716589915724;145,0824737548828;137,77182136051917;173,36888122558594;172,4891810601728;610,8345336914062;588,3476616372493
78;438,3782043457031;437,81184833380945;145,0124969482422;140,8046470083474;171,64881896972656;174,34102875509186;606,0076904296875;596,4748676678045
79;439,3191223144531;441,02136514541996;142,39334106445312;142,34902625837475;173,70693969726562;174,98138265622336;620,776611328125;597,4867262527408
80;441,7456359863281;448,4087436985919;138,7645263671875;142,3641506725242;174,56297302246094;176,20607582140528;610,6254272460938;607,20864166664
81;439,0813903808594;447,3368237907628;135,0257568359375;139,0992189517252;184,31787109375;175,42669825379215;616,3480224609375;602,0271162291648
82;444,6871643066406;445,9943822567181;139,2643585205078;135,80184415684312;194,50079345703122;179,9727735575958;629,643798828125;598,2243603293253
83;445,2516784667969;452,63376878240354;137,29501342773438;136,58878516123258;191,07662963867188;186,07992493299983;627,7628784179688;607,384244429972
84;442,983642578125;455,64176044332135;134,20602416992188;136,36787158841116;188,94647216796872;189,26832128811137;617,373046875;613,6911239520987
85;447,2622680664063;452,30457274032835;131,95675659179688;135,3086350011006;195,75498962402344;188,5523197591854;621,7454223632812;608,6249991821044
86;450,1047058105469;452,98989129017076;130,3472900390625;132,96372936049255;194,5206909179687;190,81105756649674;616,964599609375;608,2386653138067
87;433,1983337402344;453,18028102010084;128,86778259277344;130,41808949503354;187,53300476074216;191,82614513855708;594,8035278320312;606,0906799241383
88;432,8417663574219;440,7968175564838;130,63717651367188;128,7126774282171;187,64250183105466;186,5784791431739;593,18994140625;593,0824401159538
89;432,4159240722656;439,43295948455926;134,65586853027344;128,46440684487118;190,52914428710935;186,55126601389213;582,9112548828125;589,6550808239866
90;431,078857421875;438,025895276844;139,62425231933594;128,12742236388996;193,73434448242185;186,78388918906197;597,452880859375;575,6246783629039
91;435,11968994140625;440,00334120164143;140,17408752441406;133,18193227870853;195,20751953124997;190,05349368413903;605,3212890625;583,6498558205604
92;433,9114074707031;440,8037903701565;139,88417053222656;135,7726893493885;194,69989013671872;191,96235745107703;600,9389038085938;590,8770923698457
93;426,404052734375;438,1608371415458;136,96511840820312;135,87582936071675;191,87292480468744;192,36319202586998;597,4130859375;588,0094062159169
94;420,7586669921875;430,6042148580149;137,44496154785156;133,95129259431297;190,35995483398435;190,14571875329335;588,877197265625;578,9478727066495
95;417,46063232421875;425,36892496591605;134,2460174560547;133,78948646945642;188,42884826660156;188,7021153867702;583,1702270507812;576,0759232723212
96;414,5685729980469;422,9948411762494;138,2646942138672;133,24399072615708;188,5582733154297;187,03689828197093;596,8452758789062;572,5972271214006
97;419,29290771484375;420,11958490076336;144,4226837158203;133,87072418566044;190,90739440917966;185,52731140058677;602,2137451171875;577,8227786992082
98;423,749755859375;425,34420893484946;149,38104248046875;138,5179641617643;195,96400451660153;188,5961985989239;627,681640625;587,6666247460927
99;418,3222961425781;432,0457856309033;140,09408569335938;144,03476315997239;194,59039306640622;192,41635186420243;615,4208374023438;601,9628161024837
100;420,4913024902344;424,48908553668815;140,06410217285156;141,77824943547967;193,05746459960938;190,68158572158163;608,2794189453125;597,5498665660682
101;414,93505859375;423,48334482049387;135,86549377441406;139,8812299115437;191,15625;190,3897756832712;613,3988647460938;594,6091543279584
102;413,1919250488281;421,96641279825064;133,1863555908203;136,85283119394927;190,13099670410153;190,96590864390072;605,8990478515625;597,2278938387126
103;411,6864929199219;417,26902124170556;131,71682739257812;133,2104442825964;188,7872161865234;188,7334808652734;591,875244140625;592,628597250487
104;422,22454833984375;416,3166506655331;136,1953887939453;133,03424406615346;194,65011596679688;187,62662871292346;614,6538696289062;588,1528275535351
105;420,5110778808594;425,0324717744192;133,52626037597656;134,51066444810593;192,02224731445312;191,23872972539033;608,8570556640625;599,2277608771727
106;424,91845703125;424,03498786726203;137,66490173339844;135,00874154678016;195,09803771972653;189,9622400321987;610,3212890625;596,9911075781403
107;424,3935546875;429,03445750283265;140,78387451171875;136,37059252044318;197,1385955810547;192,24336742408963;613,9965209960938;600,1729382146843
108;441,9239196777344;431,2338641221522;147,0218505859375;138,4901974200429;197,45712280273435;194,9083957094317;621,0084228515625;601,3966933500304
109;442,4290466308594;443,0431597346172;147,17178344726562;143,3592175084124;197,0689239501953;196,67327224585733;633,9066162109375;610,4169693480809
110;439,804443359375;446,437926577458;142,57327270507812;144,9740015448065;199,28866577148435;196,9786796331249;644,9024658203125;616,5035829359135
111;430,39544677734375;446,299856225812;118,38120269775389;144,52604830615743;190,92730712890622;197,82463605767055;657,2429809570312;621,8378435748318
112;442,91436767578125;429,7678693397685;128,94776916503906;129,03700950452756;194,40126037597656;190,47433826739316;671,6353149414062;620,022917318924
113;438,0910339355469;441,3633811262545;123,65948486328125;130,36225224776445;194,51075744628906;192,52880365197905;673,78662109375;649,1516124457303
114;411,01300048828125;444,60343502042736;124,60917663574219;129,85988074484732;199,9456329345703;193,08578264731148;684,2546997070312;658,6135679228728
115;411,0823059082031;429,9447701865778;120,03067016601561;126,83020975102875;203,08113098144528;193,79885006516184;686,4259033203125;668,4825108155258
116;406,9820556640625;426,51858913817324;116,62179565429689;125,5940752113783;200,30395507812497;196,15013023138906;694,6728515625;667,674743565235
117;408,4181213378906;420,40961555218007;118,61112976074219;121,38640107386196;205,43026733398438;194,7989253814416;701,3759155273438;667,7541086872094
118;409,3293151855469;422,06602878380596;124,78911590576173;121,98195406513547;190,44952392578122;197,23149531399523;702,05322265625;679,6333199544915
119;411,8350830078125;419,5982225528639;128,63784790039062;123,93055353524733;190,71827697753906;188,46173781246097;709,1447143554689;681,2324766205683
120;405,8232116699219;425,3450428399805;129,79745483398438;128,78038085397733;184,48707580566406;188,32169317120386;711,6646728515625;696,5094504851778
121;408,2695617675781;421,0032801126961;133,52626037597656;129,2916125125138;185,61187744140625;184,11084410841673;714,5331420898436;697,0578625804364
122;407,4970397949219;422,9446875331138;132,7565155029297;132,80534075623262;184,46717834472656;183,5039108803564;716,9234619140625;703,8132073064315
123;405,1200256347656;417,2165513482933;131,09706115722656;133,42997423939167;182,76504516601562;181,67977578616916;722,4812622070312;702,6984337834383
124;406,60565185546875;414,6301615536111;135,2456817626953;132,82030757912514;185,2834014892578;180,0902918475394;725,6486206054688;705,0677660089751
125;404,5158386230469;417,1255191830186;138,80453491210938;135,25184637250007;184,37757873535156;180,61737321889606;733,7261962890625;710,6695064205367
126;405,7142639160156;420,2849414569259;139,35435485839844;139,92740970434556;182,92430114746094;181,53621965385366;713,5072021484375;718,9108370965128
127;410,79510498046875;413,5134864661906;139,18438720703125;140,58228714722955;184,41741943359375;179,5180434351573;700,9576416015626;700,5130956493969
128;412,9684753417969;417,779203892684;140,06410217285156;141,6481693080632;183,71067810058594;180,6242421922929;692,0632934570312;690,9420855305278
129;405,108642578125;425,69016057273797;134,38595581054688;141,84796074746959;178,83322143554688;180,05684379442013;680,8184204101562;685,1834496625717
130;400,93060302734375;419,7450890704417;130,23733520507812;139,24829604953584;178,42510986328125;177,03228915653958;665,4600219726562;676,4181917796901
131;394,8769836425781;415,47343685286256;126,58852386474611;136,3861870312548;174,6127471923828;176,38189227187982;654,87255859375;665,5781079048784
132;396,6930847167969;408,0944903481281;131,23699951171875;131,45421369762258;171,9351043701172;172,644865711949;671,0077514648438;650,8031011186114
133;389,5477600097656;410,14818537368427;120,11065673828125;132,85603403304873;167,72457885742188;172,49043709556676;655,6095581054688;662,4724845632043
134;393,9739074707031;402,393870042954;124,87908172607422;128,38862615087385;169,4963836669922;169,03350239109807;665,5297241210938;654,7996569051821
135;385,5384826660156;405,0383129189025;114,02263641357423;125,4139981043241;166,24143981933594;169,41877778476598;652,4323120117188;653,6005762300289
136;385,65753173828125;398,9726731380197;115,9520034790039;121,39675925093255;170,13345336914062;167,123031126537;637,4423828125;650,3558638554764
137;397,9732666015625;396,6828809811224;117,26158142089842;118,35009166368884;172,2238006591797;167,8869315520293;653,8466186523438;635,4690461889562
138;393,8746643066406;406,18151913499656;110,53378295898438;120,11607565410861;171,556884765625;170,60035769565238;625,420654296875;644,1617392137721
139;390,3218688964844;402,3902086679047;112,65309143066406;116,27162489934496;173,05990600585938;168,89022545192665;623,1597290039062;631,0033945968363
140;377,2717590332031;401,12968395329403;106,94496154785156;114,83224441795309;165,2968292236328;169,96139600195806;595,6002807617188;619,7223139768995
141;377,5595397949219;390,5691534294754;108,72438049316406;110,76843576375151;163,47314453125;164,9940573312522;603,2894897460938;599,1295554267355
142;380,35809326171875;389,67016910577297;115,71273803710936;110,6024931324715;166,53256225585938;163,42168415830335;617,0841674804688;602,5344217322435
143;375,8923034667969;394,69753969260506;115,55277252197266;115,20984564752348;162,19757080078125;165,6012743279342;588,2797241210938;618,6494691637414
144;385,60791015625;391,8525519456669;121,6413345336914;116,10324863351383;164,91815185546875;163,9459914429854;605,7102661132812;603,5883487236055
145;385,7469177246094;398,34962879990564;119,50183868408202;119,98482274057179;163,72230529785156;165,23660945092055;603,0187377929688;605,7121499157307
146;380,6062316894531;400,219015618364;115,40280151367186;121,13865500351183;160,11480712890625;165,44487388696086;580,548828125;603,2960372304211
147;384,87359619140625;393,63696401915115;117,49230957031249;117,95313053033146;163,3236846923828;162,91055206901615;582,2435913085938;583,6779591989209
148;383,9010314941406;398,8972021308845;118,50206756591798;119,45084460527191;162,23744201660156;165,41665076647735;584,1774291992188;583,4807710284755
149;388,28741455078125;397,17046663919024;117,6722640991211;119,24060164207893;163,42333984375;164,57609213538916;594,3955688476562;582,403526262968
150;390,0935974121094;401,115587876965;121,38140106201173;119,24910121360523;167,10058593749997;165,16068016626303;616,9253540039062;585,7261628633325
151;392,1578063964844;406,65340198296826;120,66156768798828;122,11728532627318;169,97064208984375;167,69636402828397;624,3621826171875;605,9341373074946
152;387,0072326660156;405,7414072549771;113,73320007324219;122,52498321994968;164,48963928222656;169,23414442911724;609,079833984375;612,2826648529865
153;387,6125793457031;401,9182238008914;111,4037551879883;119,62952849877378;161,67938232421875;167,03946534928238;600,7059936523438;605,9039445712981
154;375,9220886230469;400,250878617755;109,6441650390625;116,62236665389985;153,7967071533203;164,78891555966234;574,9463500976562;598,1352829464585
155;372,5379943847656;394,4948763919749;108,35446166992188;113,83101006671974;154,10565185546875;160,63375274330173;574,5675048828125;581,6452043668813
156;379,28631591796875;387,4956808887989;110,12405395507812;110,34184159478721;156,5272674560547;157,9278231943131;584,1774291992188;566,6981008741684
157;379,2367248535156;391,3551471532365;110,39398193359376;111,2214661756501;156,49732971191406;159,19468878471702;582,1138916015625;575,4237493401721
158;370,2752990722656;394,1037665913412;101,7760238647461;111,7448285122406;150,1991729736328;160,22803547432756;529,966552734375;580,4238057588393
159;357,10614013671875;377,4310910677472;94,28778076171875;104,28195018975795;145,09689331054688;153,74462733600186;503,16024780273443;537,8839206126335
160;355,14117431640625;364,13098918417927;97,61698913574219;97,06572383482884;146,242919921875;148,36489524431903;514,6444702148438;507,9673663448974
161;351,86627197265625;362,8851657812726;96,27731323242188;95,0512916491606;144,19998168945312;148,11662840148344;508,86248779296875;509,036561983607
162;387,5232849121094;363,01532432603597;114,30306243896484;97,06339865657199;158,16160583496094;147,76758187125526;583,9482421875;520,5926455496024
163;378,45269775390625;389,66814319703366;107,5446548461914;105,75288360048742;152,2919464111328;156,94192719054186;544,591064453125;552,8026248338822
164;385,4988098144531;386,3814694051446;110,90386199951172;105,79557247681109;156,5970001220703;155,45496267672996;541,8795166015625;552,0224130434349
165;384,8636169433594;391,6519940974102;110,68391418457031;108,5105352938687;158,52033996582034;157,0740773121939;529,8270263671875;545,4516472489009
166;382,7994689941406;396,1621719016801;112,1735610961914;111,0849816117944;155,76986694335935;159,56544553614776;519,8980712890625;543,9967159111303
167;368,7867126464844;395,2545317279132;104,46538543701172;111,80025633487476;152,80018615722656;159,08778454323473;500,7477722167969;533,0676730941326
168;364,9858093261719;383,01680263772613;101,4660873413086;106,48311872686274;150,63766479492188;155,36311329030485;499,9203796386719;511,63032788697296
169;356,3916320800781;380,57769586341425;96,88717651367188;104,50829129713031;147,15972900390625;154,92350857670854;483,1526794433594;507,9652886684235
170;364,0331115722656;371,28125574671844;98,86669921875;100,15093975202687;150,9466094970703;151,1660787761429;498,7240905761718;495,10167273162523
171;371,5456237792969;374,6222099525279;102,68579864501953;100,33549730417323;154,8131866455078;152,84291011023032;518,6519775390625;500,9152312615837
